         3881116 function calls (3838170 primitive calls) in 165.909 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2565    0.047    0.000    0.050    0.000 <frozen importlib._bootstrap>:94(acquire)
    46645    0.047    0.000    0.047    0.000 {method 'strip' of 'str' objects}
     2565    0.046    0.000    0.068    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
     1046    0.046    0.000    0.194    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
     1781    0.045    0.000    0.132    0.000 opt.py:604(process_node)
     7772    0.045    0.000    0.045    0.000 sre_parse.py:226(__next)
   1480/3    0.044    0.000   52.695   17.565 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
      481    0.044    0.000    0.806    0.002 elemwise.py:417(get_output_info)
       56    0.044    0.001    0.044    0.001 {method 'flatten' of 'numpy.ndarray' objects}
        2    0.043    0.022    0.043    0.022 mmalobj.py:726(disable)
       40    0.043    0.001    0.068    0.002 cmodule.py:394(<listcomp>)
     2565    0.043    0.000    0.046    0.000 <frozen importlib._bootstrap>:119(release)
     1449    0.043    0.000    0.808    0.001 <frozen importlib._bootstrap_external>:1109(_get_spec)
    28834    0.043    0.000    0.043    0.000 {method 'endswith' of 'str' objects}
     1861    0.042    0.000    0.071    0.000 basic.py:112(as_scalar)
        1    0.042    0.042  165.926  165.926 test_video.py:2(<module>)
     3002    0.042    0.000    1.210    0.000 numeric.py:586(ascontiguousarray)
  878/157    0.042    0.000    0.168    0.001 sre_compile.py:64(_compile)
      427    0.042    0.000    0.702    0.002 graph.py:866(clone_get_equiv)
      272    0.041    0.000    0.041    0.000 {built-in method posix.listdir}
        8    0.040    0.005    0.397    0.050 cmodule.py:712(refresh)
     7529    0.040    0.000    0.040    0.000 {method 'expandtabs' of 'str' objects}
     6615    0.039    0.000    0.047    0.000 utils.py:137(hashtype)
      359    0.039    0.000    0.081    0.000 inspect.py:2066(_signature_from_function)
1006/1005    0.039    0.000    0.165    0.000 basic.py:3797(init_c_code)
     5717    0.039    0.000    0.086    0.000 type.py:327(__hash__)
     4640    0.038    0.000    0.139    0.000 opt.py:2357(get_local_optimizers)
      766    0.037    0.000    0.210    0.000 opt.py:1122(set_shape)
     4564    0.037    0.000    0.037    0.000 {method 'split' of 'str' objects}
      544    0.037    0.000    0.156    0.000 opt.py:1170(update_shape)
     3394    0.037    0.000    0.368    0.000 graph.py:435(clone)
    42162    0.035    0.000    0.035    0.000 {method 'pop' of 'list' objects}
     8285    0.035    0.000    0.086    0.000 {built-in method builtins.any}
    10508    0.035    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:374(_verbose_message)
     1415    0.035    0.000    0.094    0.000 opt.py:2282(local_func_inv)
    23708    0.034    0.000    0.034    0.000 {method 'rstrip' of 'str' objects}
       74    0.034    0.000    0.064    0.001 destroyhandler.py:185(_build_droot_impact)
    23063    0.034    0.000    0.034    0.000 {method 'update' of 'set' objects}
     4145    0.033    0.000    0.302    0.000 numeric.py:463(asarray)
    14776    0.033    0.000    0.033    0.000 {built-in method builtins.min}
     4195    0.033    0.000    0.146    0.000 basic.py:422(make_variable)
      178    0.033    0.000    0.093    0.001 cc.py:934(compile_args)
 1166/527    0.033    0.000    0.136    0.000 opt.py:1707(match)
      783    0.033    0.000    0.172    0.000 opt.py:1356(transform)
     1500    0.031    0.000    0.049    0.000 utils.py:156(assert_nD)
      620    0.031    0.000    0.126    0.000 fg.py:276(__remove_client__)
      171    0.031    0.000    0.238    0.001 cc.py:1331(cmodule_key_)
      595    0.031    0.000    0.062    0.000 basic.py:60(upcast)
     2982    0.030    0.000    0.165    0.000 fromnumeric.py:1973(all)
      355    0.030    0.000    0.071    0.000 graph.py:630(stack_search)
    13296    0.030    0.000    0.036    0.000 type.py:331(<lambda>)
     2264    0.029    0.000    0.029    0.000 type.py:354(__str__)
     1982    0.029    0.000    0.439    0.000 graph.py:192(clone)
     2168    0.029    0.000    0.099    0.000 var.py:826(__init__)
      700    0.029    0.000    0.038    0.000 inspect.py:2665(__init__)
       60    0.028    0.000    0.028    0.000 mmalobj.py:1912(close)
    18025    0.028    0.000    0.028    0.000 {method 'partition' of 'str' objects}
     3727    0.028    0.000    0.539    0.000 re.py:278(_compile)
       96    0.027    0.000    0.905    0.009 _distn_infrastructure.py:1487(__init__)
       71    0.027    0.000    0.096    0.001 opt.py:2322(__init__)
     6144    0.027    0.000    0.055    0.000 basic.py:1091(__hash__)
     4046    0.027    0.000    0.057    0.000 opt.py:2319(is_inverse_pair)
      845    0.027    0.000    0.193    0.000 var.py:960(__init__)
     6442    0.026    0.000    0.063    0.000 sre_parse.py:247(get)
      638    0.026    0.000    0.269    0.000 opt.py:1313(on_import)
     1374    0.026    0.000    0.050    0.000 type.py:74(filter)
      972    0.026    0.000    0.048    0.000 safe_asarray.py:13(_asarray)
     3147    0.026    0.000    0.026    0.000 {built-in method builtins.print}
      894    0.025    0.000    0.025    0.000 basic.py:377(dtype_specs)
      213    0.025    0.000    0.489    0.002 op.py:1323(load_c_code)
      751    0.025    0.000    0.330    0.000 elemwise.py:136(params_type)
1260/1141    0.025    0.000    1.474    0.001 op.py:583(__call__)
     4934    0.025    0.000    0.025    0.000 type.py:277(__eq__)
     1956    0.025    0.000    0.150    0.000 basic.py:113(as_tensor_variable)
     1084    0.025    0.000    0.068    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
      337    0.025    0.000    1.084    0.003 fg.py:116(__init__)
     1029    0.024    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:521(spec_from_file_location)
 1360/648    0.024    0.000    0.030    0.000 sre_parse.py:167(getwidth)
      740    0.024    0.000    0.203    0.000 var.py:866(__eq__)
    18642    0.024    0.000    0.037    0.000 {method 'add' of 'set' objects}
       60    0.024    0.000    0.058    0.001 mmalobj.py:802(disable)
      434    0.024    0.000    0.514    0.001 opt.py:4958(transform)
     1046    0.023    0.000    0.044    0.000 <frozen importlib._bootstrap>:321(__exit__)
     1801    0.023    0.000    0.036    0.000 opt.py:5168(local_useless_elemwise_comparison)
     1045    0.023    0.000    0.088    0.000 inspect.py:655(getsourcefile)
      171    0.023    0.000    0.023    0.000 configparser.py:196(<listcomp>)
     9803    0.023    0.000    0.023    0.000 graph.py:553(notify_construction_observers)
 1543/461    0.022    0.000    0.203    0.000 pfunc.py:75(clone_v_get_shared_updates)
  700/359    0.022    0.000    0.149    0.000 inspect.py:2147(_signature_from_callable)
      757    0.021    0.000    0.147    0.000 opt.py:4873(simplify_constants)
     1105    0.021    0.000    0.143    0.000 _collections_abc.py:541(__ior__)
